Title,Authors,PMID,Journal,Date
Routine multi detector computed tomography evaluation of tracheal impairment compared to laryngo-tracheal endoscopy in children with vascular ring.,"Muller CO, Derycke L, Kheniche A, Garcia G, Bernard S, Teissier N, Bonnard A.",29961107,Pediatr Surg Int,2018 Aug
Hepatobiliary Scintigraphy to Evaluate Biliary Complications of Pediatric Liver Transplantation: An Account of an Experience.,"Gutierrez-Villamil C, Velez-Gutierrez C, Arevalo-Leal S, Rivera-Baquero J, Marín-Oyaga V.",33378778,Eur J Pediatr Surg,2022 Jun
Redo pullthrough for Hirschsprung disease.,"Ralls MW, Coran AG, Teitelbaum DH.",28040830,Pediatr Surg Int,2017 Apr
Adrenalectomy for non-neuroblastic pathology in children.,"Traynor MD Jr, Sada A, Thompson GB, Moir CR, Bancos I, Farley DR, Dy BM, Lyden ML, Habermann EB, McKenzie TJ.",31691026,Pediatr Surg Int,2020 Feb
Diagnosis and treatment of pancreatoblastoma in children : a retrospective study in a single pediatric center.,"Huang Y, Yang W, Hu J, Zhu Z, Qin H, Han W, Wang H.",31338582,Pediatr Surg Int,2019 Nov
A Single-Center Experience with Very Low Birth Weight Infants and Focal Intestinal Perforation: Comparison of Primary Anastomosis versus Stoma Opening.,"Brisighelli G, Consonni D, Macchini F, Parente G, Zanini A, Franzini S, Colnaghi M, Mosca F, Leva E.",28837996,Eur J Pediatr Surg,2018 Oct
Risk factors associated with intestinal necrosis in children with failed non- surgical reduction for intussusception.,"Huang HY, Huang XZ, Han YJ, Zhu LB, Huang KY, Lin J, Li ZR.",28124113,Pediatr Surg Int,2017 May
Diagnostic value of hemoglobin concentration in identifying Meckel's diverticulum in pediatric lower gastrointestinal bleeding.,"Couselo M, Ibáñez V, Pemartín B, Fonseca R, Vila JJ.",39731605,Pediatr Surg Int,2024 Dec
"Commentary to ""Advantages of single-site laparoscopic orchiopexy for palpable undescended testes in children : a prospective comparison study"".",Azizoğlu M.,38342802,Pediatr Surg Int,2024 Feb
Is extra-pleura Nuss procedure more secure and effective?,"Shu-li L, Wen-ya W, Zhen C, Jun Z, Chen W, Long L, Wen-xiao W, Xu L, Kao-ping G, Guo-liang Q, Zhen Z, Jun-Tto G, Jin-shan Z, Yan-dong W, Wei C.",25895071,Pediatr Surg Int,2015 Jul
Enhancing AI Readiness in Pediatric Surgery : Impact of a Targeted Workshop on Knowledge and Competencies.,"Till H, Elsayed H, Singer G, Obermüller B, Till T, Gnatzy R, Tschauner S.",40628455,Eur J Pediatr Surg,2025 Jul
Stoma Closure Improves Head Circumference Growth in Very Preterm Infants after Necrotizing Enterocolitis.,"Honoré KD, Johansen MN, Rasmussen L, Zachariassen G.",33080629,Eur J Pediatr Surg,2021 Dec
The Development of Necrotizing Enterocolitis Publications: A Holistic Evolution of Global Literature with Bibliometric Analysis.,"Doğan G, İpek H.",31777031,Eur J Pediatr Surg,2020 Jun
Common pediatric surgical diseases of refugee children : health around warzone.,"User IR, Ozokutan BH.",31037325,Pediatr Surg Int,2019 Jul
Comments to Recent Guidelines on Undescended Testis.,"Kutasy B, Thorup JM, Wester T.",27631724,Eur J Pediatr Surg,2016 Oct
Management of total colonic duplication: retrospective single institution Chinese study.,"Yan J, Zhang J, Pang W, Peng C, Chen Y.",40512412,Pediatr Surg Int,2025 Jun
Surgery for the complex Wilms tumour.,"Cox S, Büyükünal C, Millar AJW.",31701302,Pediatr Surg Int,2020 Feb
Transition of care: a growing concern in adult patients born with colorectal anomalies.,"Acker S, Peña A, Wilcox D, Alaniz V, Bischoff A.",30392127,Pediatr Surg Int,2019 Feb
Laparoscopic ligation of ectopic ureter in pediatric patients: a safe surgical option for the management of urinary incontinence due to ectopic ureters.,"Li Z, Psooy K, Morris M, Dharamsi N, Retrosi G.",33449158,Pediatr Surg Int,2021 May
Small bowel duplication cyst in the pediatric population-when to operate?,"Dreznik Y, Almog A, Paran M, Konen O, Kravarusic D.",39751640,Pediatr Surg Int,2025 Jan
How should we treat representative neonatal surgical diseases with congenital heart disease?,"Muto M, Sugita K, Matsuba T, Kedoin C, Matsui M, Ikoma S, Murakami M, Yano K, Onishi S, Harumatsu T, Yamada K, Yamada W, Matsukubo M, Kawano T, Machigashira S, Torikai M, Kaji T, Ibara S, Imoto Y, Soga Y, Ieiri S.",35838788,Pediatr Surg Int,2022 Sep
Development of a 3D-printed neonatal congenital diaphragmatic hernia model and standardisation of intra-operative measurement.,Paediatric Surgical Trainees Research Network (PSTRN); SurgeryLabs PSTRN.,38147130,Pediatr Surg Int,2023 Dec
Atypical pulmonary sequestration causing respiratory distress in a 2-month-old male infant.,Rossi JB.,28243740,Pediatr Surg Int,2017 Jul
Prenatal and Postnatal Management of Gastroschisis in German-Speaking Countries: Is There a Standardized Management?,"Schib K, Schumacher M, Meuli M, Tharakan S, Subotic U.",28183146,Eur J Pediatr Surg,2018 Apr
Increased morbidity and mortality in cardiac patients undergoing fundoplication.,"Short HL, Travers C, McCracken C, Wulkan ML, Clifton MS, Raval MV.",28039511,Pediatr Surg Int,2017 May
Vena Cava Thrombosis after Congenital Diaphragmatic Hernia Repair: Multivariate Analysis of Potential Risk Factors.,"Kiblawi R, Zoeller C, Pirr S, Hofmann AD, Ure B, Dingemann J.",34891190,Eur J Pediatr Surg,2022 Feb
Safety and benefit of ad libitum feeding following laparoscopic pyloromyotomy: retrospective comparative trial.,"Hong Y, Okolo F, Morgan K, Hess N, Narr M, Pyros A, Humphrey V, Malek M.",35182200,Pediatr Surg Int,2022 Apr
ERNICA Consensus Conference on the Management of Patients with Esophageal Atresia and Tracheoesophageal Fistula: Follow-up and Framework.,"Dingemann C, Eaton S, Aksnes G, Bagolan P, Cross KM, De Coppi P, Fruithof J, Gamba P, Husby S, Koivusalo A, Rasmussen L, Sfeir R, Slater G, Svensson JF, Van der Zee DC, Wessel LM, Widenmann-Grolig A, Wijnen R, Ure BM.",31777030,Eur J Pediatr Surg,2020 Dec
Surgical management and outcomes of ganglioneuroma and ganglioneuroblastoma-intermixed.,"Yang T, Huang Y, Xu T, Tan T, Yang J, Pan J, Hu C, Li J, Zou Y.",28608056,Pediatr Surg Int,2017 Sep
Advantages of single-site laparoscopic orchiopexy for palpable undescended testes in children : a prospective comparison study.,"Yang Z, He Y, Chen P, Zhang T, Ke Z, Sun F, Zhou G, Zhao W, Li S.",38214758,Pediatr Surg Int,2024 Jan
The impact of ultrasound on testicular loss in cases of testicular torsion in children.,"Buch Kjeldgaard A, Kinder-Klausen MS, Nerstrøm M, Cohen J, Henriksen BM, Thorup JM.",38507099,Pediatr Surg Int,2024 Mar
Surgical outcomes of pancreaticoduodenal injuries in children.,"Katz MG, Fenton SJ, Russell KW, Scaife ER, Short SS.",29623405,Pediatr Surg Int,2018 Jun
Nationwide outcomes of incidental appendectomy during cholecystectomy versus cholecystectomy alone in children : a propensity score-matched analysis.,"Huerta CT, Sundin A, Ribieras AJ, Saberi R, Ramsey W, Gilna G, Quiroz HJ, Thorson CM, Sola JE, Perez EA.",35920888,Pediatr Surg Int,2022 Oct
Vaginal tumours in childhood : a descriptive analysis from a large paediatric medical centre.,"Meng Z, Lin D, Liu C, Wang G, Sun N.",35325284,Pediatr Surg Int,2022 Jun
Cardiogenic Necrotizing Enterocolitis: A Clinically Distinct Entity from Classical Necrotizing Enterocolitis.,"Siano E, Lauriti G, Ceccanti S, Zani A.",30112744,Eur J Pediatr Surg,2019 Feb
The current profile of persistent cloaca and cloacal exstrophy in Japan: the results of a nationwide survey in 2014 and a review of the literature.,Kubota M.,28058485,Pediatr Surg Int,2017 Apr
Association of a Clinical Practice Guideline With Blood Culture Use in Critically Ill Children.,"Woods-Hill CZ, Fackler J, Nelson McMillan K, Ascenzi J, Martinez DA, Toerper MF, Voskertchian A, Colantuoni E, Klaus SA, Levin S, Milstone AM.",27942705,JAMA Pediatr,2017 Feb
Assistant port is unnecessary for robotic-assisted laparoscopic pyeloplasty in children : a comparative cohort study.,"Danacioglu YO, Keser F, Polat S, Gunaydin B, Comez YI, Silay MS.",35849174,Pediatr Surg Int,2022 Sep
A comparison of pediatric gastrostomy tube placement techniques.,"Sulkowski JP, De Roo AC, Nielsen J, Ambeba E, Cooper JN, Hogan MJ, Erdman S, Deans KJ, Minneci PC, Kenney B.",26686696,Pediatr Surg Int,2016 Mar
Robot - Assisted Surgery in Pediatric Patients: Results of a French Multicenter Study on 1401 Patients.,"Ballouhey Q, Esposito C, Taghavi K, Lardy H, Berte N, Abbo O, Leclair MD, Garnier S, Peycelon M, Hery G, Scalabre A, Meignan P, Capito C, Lopez P, Sarnacki S, Fourcade L, Arnaud AP, Blanc T.",40472888,J PediatrSurg,2025 Aug
Kono-S anastomosis in Crohn's disease: initial experience in pediatric patients.,"Dotlacil V, Lerchova T, Lengalova M, Kucerova B, Schwarz J, Hradsky O, Rygl M, Skaba R.",38438752,Pediatr Surg Int,2024 Mar
Is There Gender (In)Equality in Pediatric Surgery ? An Online Survey on Gender-Related Career Opportunities.,"Kueppers J, Heuer LD, Szavay PO, Zundel S.",35830860,Eur J Pediatr Surg,2023 Apr
Comparison of continuous and interrupted suture techniques in pyeloplasty: a systematic review and meta-analysis.,"Kim JK, Lee MJ, Gao B, Yadav P, Ming JM, Rickard M, Lorenzo AJ, Chua ME.",35842876,Pediatr Surg Int,2022 Sep
Effect of physician specialty training on pediatric appendectomy outcomes: an NSQIP-P analysis.,"Snyder EM, Abella MK, Yoon IJ, Lee AY, Singh SA, Harvey CJ, Puapong DP, Woo RK.",39522112,Pediatr Surg Int,2024 Nov
A pilot study of multi-modal pain management for same-day discharge after minimally invasive repair of pectus excavatum (Nuss procedure) in children.,"Akinboro S, John R, Reyna T, Davis R, Ayoub C, Sangster R, Kim J, Nguyen H, Moreno C, Guner Y, Goodman L, Yu PT, Morphew T, Kabeer M.",36967421,Pediatr Surg Int,2023 Mar
Cysto-Vaginoscopy of a 3D-Printed Cloaca Model: A Step toward Personalized Noninvasive Preoperative Assessment in Patients with Complex Anorectal Malformations.,"Krois W, Schmölz L, Wagner M, Gröpel P, Unger E, Berger A, Metzelder M, Reck CA.",33757134,Eur J Pediatr Surg,2022 Apr
Inferior vena cava involvement in children with Wilms tumor.,"Al Diab A, Hirmas N, Almousa A, Abu-Hijlih R, Aljlouni F, Sultan I, Ghandour K.",28070651,Pediatr Surg Int,2017 May
Promoting application of enhanced recovery after surgery protocols during perioperative localized abdominal and thoracic neuroblastomas.,"He J, Wang Z, Yu X, Su Y, Hong M, Zhu K.",39487870,Pediatr Surg Int,2024 Nov
IFTT in children and adolescents -single-center experience and systematic review of literature.,"Meyer J, Steinhoff-Kellner A, Stehr M, Schäfer FM.",38816521,Pediatr Surg Int,2024 May
Timely thoracoscopic decortication promotes the recovery of paediatric parapneumonic empyema.,"Lau CT, Fung CH, Wong KK, Tam P.",26036322,Pediatr Surg Int,2015 Jul
Pyloric stenosis: an enigma more than a century after the first successful treatment.,"El-Gohary Y, Abdelhafeez A, Paton E, Gosain A, Murphy AJ.",29030700,Pediatr Surg Int,2018 Jan
"Robotic Excision of Choledochal Cyst with Hepaticoduodenostomy (HD): Report of HD Technique, Initial Experience, and Early Outcome.","Nazki S, Kanojia RP, Bawa M, Binu V, Lal S, Sood A, Samujh R.",32668486,Eur J Pediatr Surg,2021 Jun
Thoracoscopy versus thoracotomy for esophageal atresia and tracheoesophageal fistula: Outcomes from the Midwest Pediatric Surgery Consortium.,"Marquart JP, Bowder AN, Bence CM, St Peter SD, Gadepalli SK, Sato TT, Szabo A, Minneci PC, Hirschl RB, Rymeski BA, Downard CD, Markel TA, Deans KJ, Fallat ME, Fraser JD, Grabowski JE, Helmrath MA, Kabre RD, Kohler JE, Landman MP, Lawrence AE, Leys CM, Mak GZ, Port E, Saito J, Silverberg J, Slidell MB, Wright TN, Lal DR; Midwest Pediatric Surgery Consortium.",36283849,J PediatrSurg,2023 Jan
Robot-assisted thoracoscopic plication for diaphragmatic eventration.,"Xu PP, Chang XP, Tang ST, Li S, Cao GQ, Zhang X, Chi SQ, Fang MJ, Yang DH, Li XY.",32711940,J PediatrSurg,2020 Dec
Correction to: transumbilical laparoscopic -assisted appendectomy for acute appendicitis in children : appendiceal stump inversion is not necessary - a retrospective study.,"Mazzarolo S, Boscarelli A, Giangreco M, Dobrinja C, Codrich D, Scarpa MG, Iaquinto M, Peric-Anicic M, Olenik D, Maita S, Guida E, Schleef J.",40640450,Pediatr Surg Int,2025 Jul
Surgical management of esophageal achalasia: Evolution of an institutional approach to minimally invasive repair.,"Petrosyan M, Khalafallah AM, Guzzetta PC, Sandler AD, Darbari A, Kane TD.",27292598,J PediatrSurg,2016 Oct
Changing Authorship Patterns and Publishing Habits in the European Journal of Pediatric Surgery : A 10-Year Analysis.,Pintér A.,24918399,Eur J Pediatr Surg,2015 Aug
Clinical presentation and management of childhood intussusception in South Africa.,"Cox S, Withers A, Arnold M, Chitnis M, de Vos C, Kirsten M, le Grange SM, Loveland J, Machaea S, Maharaj A, Madhi SA, Tate JE, Parashar UD, Groome MJ.",34213589,Pediatr Surg Int,2021 Oct
Evaluation methods and impact of simulation-based training in pediatric surgery : a systematic review.,"Yokoyama S, Mizunuma K, Kurashima Y, Watanabe Y, Mizota T, Poudel S, Kikuchi T, Kawai F, Shichinohe T, Hirano S.",31396735,Pediatr Surg Int,2019 Oct
Complex Bench Surgery Does Not Increase the Risk of Vascular Complications after Pediatric Kidney Transplantation.,"Ghidini F, Fascetti Leon F, De Corti F, Meneghesso D, Longo G, Sgrò A, Michelon S, Metrangolo S, Meneghini L, Castagnetti M, Benetti E, Gamba P, Dall'Igna P.",35853468,Eur J Pediatr Surg,2023 Apr
Enhanced recovery after urological reconstructive surgery in pediatric patients: a systematic review and meta-analysis.,"Cassaro F, Impellizzeri P, Maisano G, Romeo C, Arena S.",40205204,Pediatr Surg Int,2025 Apr
"The ""cut and push"" method of removing percutaneous endoscopic gastrostomy tube is not safe in paediatric patients.","Alchoikani N, Donnelly C, Lawther S.",37993741,Pediatr Surg Int,2023 Nov
Evaluating perioperative stresses in children by noninvasive modalities using salivary cortisol and autonomic reactivity.,"Adachi A, Fujiwara K, Watayo H, Hu A, Yamaguchi T, Iida H, Ishiyama A, Shimizu M, Nojiri S, Koga H, Kobayashi H, Lane GJ, Yamataka A, Suda K.",39103636,Pediatr Surg Int,2024 Aug
Outcomes of laparoscopic and open surgery in children with and without congenital heart disease.,"Chu DI, Tan JM, Mattei P, Simpao AF, Costarino AT, Shukla AR, Rossano JW, Tasian GE.",29157923,J PediatrSurg,2018 Oct
Factors contributing to parental stress in newborns requiring surgical care: a cross-sectional study.,"Radhakrishna V, Gadgade BD, Kumar N, Vasudev RB, Anand A, Basavaraju M, Ramareddy RS, Lakshmaiah VK.",39527287,Pediatr Surg Int,2024 Nov
Association of operative approach with outcomes in neonates with esophageal atresia and tracheoesophageal fistula.,"Etchill EW, Giuliano KA, Boss EF, Rhee DS, Kunisaki SM.",33994203,J PediatrSurg,2021 Dec
Surgical practices and oncological outcomes of Wilms tumor in a resource limited setting: a risk-adapted approach.,"Kumar GR, Shah AC, Murali A, Krishnamurthy SS, Radhakrishnan V, Raja A.",40198412,Pediatr Surg Int,2025 Apr
Fertility preservation service for children and young adults at high risk of infertility; the hub and spoke model.,"Ghattaura H, Davies J, Becker CM, Lane S, Lakhoo K.",39030371,Pediatr Surg Int,2024 Jul
Risk factors of dumping syndrome after fundoplication for gastroesophageal reflux in children.,"Yamoto M, Fukumoto K, Takahashi T, Miyake H, Nakaya K, Nomura A, Sekioka A, Yamada Y, Urushihara N.",33388966,Pediatr Surg Int,2021 Feb
The impact of gender on pediatric surgical access and outcomes in Africa.,"Williams S, Serhan O, Wang J, Guindi C, Guadagno E, Trudeau M, Ameh E, Lakhoo K, Poenaru D.",40759765,Pediatr Surg Int,2025 Aug
Prophylactic anti-reflux procedure for children undergoing laparoscopic gastrostomy: Rethinking of the routine practice.,"Fung ACH, Ooi YN, Hui HM, Mok MKY, Chung PHY, Wong KKY.",38501550,World J Surg,2024 Mar
Unmet surgical needs in children : a household survey in Nepal.,"Nagarajan N, Gupta S, Shresthra S, Varadaraj V, Devkota S, Ranjit A, Kushner AL, Nwomeh BC.",25700687,Pediatr Surg Int,2015 Apr
Postoperative anastomotic stricture following excision of choledochal cyst: a systematic review and meta-analysis.,"Tanaka R, Nakamura H, Yoshimoto S, Okunobo T, Satake R, Doi T.",36454303,Pediatr Surg Int,2022 Dec
Is contralateral inguinal exploration necessary in preterm girls undergoing inguinal hernia repair during the first months of life?,"Demouron M, Delforge X, Buisson P, Hamzy M, Klein C, Haraux E.",30120549,Pediatr Surg Int,2018 Nov
Genetic Counseling for Bladder Exstrophy-Epispadias Complex.,"Reutter H, Holmdahl G.",34911128,Eur J Pediatr Surg,2021 Dec
"Neonatal surgical outcomes: a prospective observational study at a Tertiary Academic Hospital in Johannesburg, South Africa.","Withers A, Cronin K, Mabaso M, Brisighelli G, Gabler T, Harrison D, Patel N, Westgarth-Taylor C, Loveland J.",33740107,Pediatr Surg Int,2021 Aug
Benign liver tumors in children : outcomes after resection.,"Qureshi SS, Bhagat M, Kembhavi S, Vora T, Ramadwar M, Chinnaswamy G, Prasad M, Khanna N, Laskar S.",26263875,Pediatr Surg Int,2015 Dec
Severe acquired subglottic stenosis in children : analysis of clinical features and surgical outcomes based on the range of stenosis.,"Morita K, Yokoi A, Bitoh Y, Fukuzawa H, Okata Y, Iwade T, Endo K, Takemoto J, Tamaki A, Maeda K.",26272075,Pediatr Surg Int,2015 Oct
Percutaneous internal ring suturing as a first choice laparoscopic inguinal hernia repair method in girls: a single-center study in 148 patients.,"Erginel B, Akin M, Yildiz A, Karadag CA, Sever N, Dokucu AI.",27270295,Pediatr Surg Int,2016 Jul
Outcome of Very Low and Low Birth Weight Infants with Esophageal Atresia: Results of the Turkish Esophageal Atresia Registry.,"Oztan MO, Soyer T, Oztorun CI, Firinci B, Durakbaşa ÇU, Dokumcu Z, Gollu G, Akkoyun I, Demirel D, Karaman A, Ciftci I, Ilhan H, Parlak A, Ozden O, Cömert HSY, Oral A, Tekant G, Kiyan G, Erginel B, Guvenc U, Erdem AO, Erturk N, Yildiz A.",32629496,Eur J Pediatr Surg,2021 Jun
Functional outcome of Hirschsprung's disease in children : A single center study at The Children 's Hospital Lahore.,"Saleem M, Butt J, Shaukat Z, Hashim I, Moeezah, Majeed F, Kamran M, Saleem U.",37039898,Pediatr Surg Int,2023 Apr
Gastric tumors in children : single-center study with emphasis on treatment of repeated recurrence.,"Petrasova N, Snajdauf J, Petru O, Frybova B, Svojgr K, Linke Z, Mixa V, Kodet R, Kyncl M, Rygl M.",32561985,Pediatr Surg Int,2020 Aug
What is the optimal surgical strategy for complex perianal fistulous disease in pediatric Crohn's disease? A systematic review.,"Kantor N, Wayne C, Nasr A.",28138950,Pediatr Surg Int,2017 May
The management of thoracobiliary fistulas in children : a systematic review.,"Koliakos N, Papaconstantinou D, Tzortzis AS, Kykalos S, Bakopoulos A, Zavras N, Schizas D.",36884128,Pediatr Surg Int,2023 Mar
Choosing a pediatric surgery career: affecting factors and status assessment.,"Karagöz A, Yavuz G, Çakmakkaya S, Eliçevik M, Celayir S.",39699668,Pediatr Surg Int,2024 Dec
Thoracoscopic versus conventional open repair of tracheoesophageal fistula in neonates : A short-term comparative study.,"Rozeik AE, Elbarbary MM, Saleh AM, Khodary AR, Al-Ekrashy MA.",31785836,J PediatrSurg,2020 Sep
Early enteral feeding after intestinal anastomosis in children : a systematic review and meta-analysis of randomized controlled trials.,"Tian Y, Zhu H, Gulack BC, Alganabi M, Ramjist J, Sparks E, Wong K, Shen C, Pierro A.",33595685,Pediatr Surg Int,2021 Mar
Early versus Delayed Inguinal Hernia Repair in Preterm Neonates : An Updated Systematic Review and Meta-Analysis.,"Vasconcellos DCMDS, Viana MFF, Miranda NCD, Marimpietri FS, Silva MG, Pereira L.",40494567,Eur J Pediatr Surg,2025 Jun
Early post-operative fever after colorectal surgery in infants is common and rarely associated with infection.,"Kwong JZ, Lapidus-Krol E, Langer JC, Gulack BC.",39160337,Pediatr Surg Int,2024 Aug
Surgical management and outcomes of paediatric ovarian tumours-a 25-year UK single centre experience.,"Arthur F, Hennessey I, Pizer B, Losty PD.",34170394,Pediatr Surg Int,2021 Oct
The effect of thoracoscopy upon the repair of pectus excavatum.,"Mennie N, Frawley G, Crameri J, King SK.",28827049,J PediatrSurg,2018 Apr
Autologous intestinal reconstruction surgery as part of comprehensive management of intestinal failure.,Pakarinen MP.,25820764,Pediatr Surg Int,2015 May
The effect of audio therapy to treat postoperative pain in children undergoing major surgery : a randomized controlled trial.,"Sunitha Suresh BS, De Oliveira GS Jr, Suresh S.",25555856,Pediatr Surg Int,2015 Feb
Intestinal microbiota in neonates requiring urgent surgery : assessing the role of probiotics using fecal DNA sequencing.,"Murakami H, Shimomura Y, Matsumoto M, Lane GJ, Yamataka A, Okawada M.",26516074,Pediatr Surg Int,2016 Jan
Surgical treatment for rebleeding caused by bypass failure after Rex shunt: re-Rex shunt or Warren shunt?,"Zhang JS, Li L, Cheng W.",29546610,Pediatr Surg Int,2018 May
The Role of GERD Diagnosis and Treatment in Preventing Lung Function Decline After Pediatric Lung Transplantation.,"Garrisi EC, Müller C, Ure B, Carlens J, Dingemann J, Schukfeh N.",39419066,Eur J Pediatr Surg,2025 Feb
Risk factors associated with recent opioid-related hospitalizations in children : a nationwide analysis.,"Ferrantella A, Huerta CT, Quinn K, Mavarez AC, Quiroz HJ, Thorson CM, Perez EA, Sola JE.",35239012,Pediatr Surg Int,2022 Jun
Utilization of Enhanced Recovery After Surgery (ERAS) protocol in pediatric laparoscopic sleeve gastrectomy: a quality improvement project.,"Fall F, Pace D, Brothers J, Jaszczyszyn D, Gong J, Purohit M, Sadacharam K, Lang RS, Berman L, Lin C, Reichard K.",39508844,Pediatr Surg Int,2024 Nov
"Assess, adapt and act: a paediatric surgery division's initial approach in a rapidly evolving pandemic.","Sanmugam A, Vythilingam G, Singaravel S, Nah SA.",32594243,Pediatr Surg Int,2020 Aug
Laparoscopic -assisted management of traumatic abdominal wall hernias in children : case series and a review of the literature.,"Talutis SD, Muensterer OJ, Pandya S, McBride W, Stringel G.",25746707,J PediatrSurg,2015 Mar
A new classification for surgical NEC during exploratory laparotomy: introduction and reproducibility assessment.,"Shang S, Li A, Liang C, Shen C, Li Y, Liu L, Geng N, Xu W, Li S.",38619672,Pediatr Surg Int,2024 Apr
Bowel perforation in neonates with Hirschsprung disease: a case series and literature review.,"Liu Z, Zhang Y, Sun D, Chen Y, Guo W, Du J, Huang J.",39621084,Pediatr Surg Int,2024 Dec
History of the Pan African Paediatric Surgery Association (PAPSA).,"Elhalaby EA, Rode H, Lakhoo K.",32651618,Pediatr Surg Int,2020 Nov
The identification and treatment of intestinal malrotation in older children.,"Dekonenko C, Sujka JA, Weaver K, Sharp SW, Gonzalez K, St Peter SD.",30810798,Pediatr Surg Int,2019 Jun
Congenital diaphragmatic hernia in neonates : factors related to failure of thoracoscopic repair.,"Okazaki T, Okawada M, Koga H, Miyano G, Doi T, Ogasawara Y, Yamataka A.",27480984,Pediatr Surg Int,2016 Oct
One- versus two-stage single-incision laparoscopic cyst excision and hepaticojejunostomy in patients with completely perforated choledochal cysts and good medical conditions.,"Yin T, Chen S, Li L, Diao M, Huang T, Li Q, Xie X.",35157126,Pediatr Surg Int,2022 Apr
Antenatally diagnosed lung malformations: a plea for long-term outcome studies.,"Choudhry M, Drake D.",25556419,Pediatr Surg Int,2015 May
Totally robotic soave pull-through procedure for Hirschsprung's disease: lessons learned from 11 consecutive pediatric patients.,"Pini Prato A, Arnoldi R, Dusio MP, Cimorelli A, Barbetta V, Felici E, Barbieri P, Barbero S, Carlini C, Petralia P, Mattioli G, Roveta A, Maconi A.",31659436,Pediatr Surg Int,2020 Feb
Guidelines for the management of postoperative obstructive symptoms in children with Hirschsprung disease.,"Langer JC, Rollins MD, Levitt M, Gosain A, Torre L, Kapur RP, Cowles RA, Horton J, Rothstein DH, Goldstein AM; American Pediatric Surgical Association Hirschsprung Disease Interest Group.",28180937,Pediatr Surg Int,2017 May
Feeding gastrostomy in children with complex heart disease: when is a fundoplication indicated?,"Carpenter JL, Soeken TA, Correa AJ, Zamora IJ, Fallon SC, Kissler MJ, Fraser CD Jr, Wesson DE.",26721475,Pediatr Surg Int,2016 Mar
What is the role of enhanced recovery after surgery in children ? A scoping review.,"Pearson KL, Hall NJ.",27679510,Pediatr Surg Int,2017 Jan
Does fissure status affect the outcome of thoracoscopic pulmonary lobectomy?,"Murakami H, Koga H, Lane G, Hirayama S, Suzuki K, Yamataka A.",31555863,Pediatr Surg Int,2020 Jan
Long-term outcomes of laparoscopic -assisted versus complete transanal endorectal pull-through technique for classic segment Hirschsprung's disease.,"Ban HT, Chieu VM, Huynh QTV, Thanh TT, Quang DT, Uy LTN.",39668290,Pediatr Surg Int,2024 Dec
Laparoscopic modified Orr-Loygue mesh rectopexy for rectal prolapse in children.,"Gomes-Ferreira C, Schneider A, Philippe P, Lacreuse I, Becmeur F.",25638636,J PediatrSurg,2015 Feb
C-reactive protein/albumin ratio is a prognostic indicator for predicting surgical intervention and mortality in neonates with necrotizing enterocolitis.,"Mohd Amin AT, Zaki RA, Friedmacher F, Sharif SP.",33779823,Pediatr Surg Int,2021 Jul
Evaluating Ex Vivo Fluorescence Confocal Microscopy for Intraoperative Diagnosis in Pediatric Surgery : A Feasibility Study.,"Di Fabrizio D, Mastroberti F, Tavolario I, Bindi E, Ilari M, Marinelli M, Coccia P, Filosa A, Goteri G, Cobellis G.",40763816,Eur J Pediatr Surg,2025 Aug
A systematic review of Sandifer syndrome in children with severe gastroesophageal reflux.,"Kato D, Uchida H, Amano H, Yokota K, Shirota C, Tainaka T, Sumida W, Makita S, Yasui A, Gohda Y, Maeda T, Hinoki A.",38526644,Pediatr Surg Int,2024 Mar
Laparoscopic one port appendectomy: Evaluation in pediatric surgery.,"Binet A, Braïk K, Lengelle F, Laffon M, Lardy H, Amar S.",29370892,J PediatrSurg,2018 Nov
Pre-decannulation flexible bronchoscopy in tracheostomized children.,"Sachdev A, Ghimiri A, Gupta N, Gupta D.",28879448,Pediatr Surg Int,2017 Nov
Clinic-day surgery for children : a patient and staff perspective.,"Criss CN, Brown J, Gish JS, Gadepalli SK, Hirschl RB.",29808282,Pediatr Surg Int,2018 Jul
Long-term outcomes in newborn surgery.,Rintala RJ.,36542182,Pediatr Surg Int,2022 Dec
Tissue engineering: from the bedside to the bench and back to the bedside.,"Sahakyants T, Vacanti JP.",32734338,Pediatr Surg Int,2020 Oct
Modified biliary-enteric anastomosis for congenital choledochal cyst: clinical and prognostic analysis of 91 cases.,"Chen J, Jiang B, Yi J, Huang L, Si X.",28289881,Pediatr Surg Int,2017 Jun
Features of recurrence and contralateral metachronous inguinal hernia (CMIH) in the patients underwent laparoscopic percutaneous extraperitoneal closure (LPEC) for pediatric inguinal hernia.,"Miyake H, Yamoto M, Nomura A, Sugai Y, Gohda Y, Yamashiro Y, Fukumoto K.",39466471,Pediatr Surg Int,2024 Oct
Diagnostic Accuracy of Meckel Scan with Initial Hemoglobin Level to Detect Symptomatic Meckel Diverticulum.,"Suh M, Lee HY, Jung K, Kim SE.",25422901,Eur J Pediatr Surg,2015 Oct
Impact of overweight/obesity on clinical outcomes after reduction for intussusception in children.,"Hou J, Hou J, Die X, Sun J, Zhang M, Liu W, Wang Y.",33825955,Pediatr Surg Int,2021 Jul
Surgeon-Level Variation in Outcome following Esophageal Atresia Repair Is Not Explained by Volume.,"O'Connor E, Jaffray B.",33368086,Eur J Pediatr Surg,2022 Apr
